condition,write_algorithm,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
D_W0_R0,W0,R0,30,0.003279167018869581,0.00232499951380305,0.008170626279024864,0.011309621331747623,0.0022646813637397113,0.003279167018869581,0.00232499951380305,0.008170626279024864,0.011309621331747623,0.0022646813637397113,3637.866666666667,3639.5,4402.349999999999,4624.29,424.8533655536016,3863.386406665086,3816.7472500063013,4822.140009995201,5105.771326003887,547.8875785438208,4127.4,4125.0,4973.199999999999,5204.91,446.5073795582778,959.9666666666667,914.0,1267.9499999999994,1355.84,131.86116014792057,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024446333333333335,0.0023395,0.0029026499999999997,0.003571210000000001,0.00033796187983591025,3696.0,3660.5,4200.4,4292.1,249.9351915997425,1189.4666666666667,1140.0,1521.8999999999994,1722.7,164.65372418772947,2736.0333333333333,2747.0,2932.55,2936.55,131.04515337173757,892.5333333333333,846.0,1194.8499999999995,1279.71,129.41064699457905,959.9666666666667,914.0,1267.9499999999994,1355.84,131.86116014792057,296.93333333333334,284.5,338.59999999999997,449.79000000000013,47.005626140802434,16886.004299999993,16845.076,20106.669949999992,21970.6556,1730.3634159922233,0.0,0.0,0.0,0.0,0.0,0.9966666666666666,1.0,1.0,1.0,0.012472191289246485,0.65,1.0,1.0,1.0,0.4163331998932265
D_W0_R1,W0,R1,30,0.0038483326837498075,0.00334375181409996,0.008420622543781058,0.01186112342111301,0.002425198778374665,0.0038483326837498075,0.00334375181409996,0.008420622543781058,0.01186112342111301,0.002425198778374665,3576.6666666666665,3492.0,4363.05,4456.04,369.31805022530676,4337.089656665921,4169.056250000722,5110.618494995286,7089.745025996237,744.612219876783,1881.4,1820.0,2802.3499999999995,2941.43,374.28167645949935,469.1,437.0,754.4499999999995,845.42,120.24429300386775,2.2038484999859222,2.2226741665942154,2.483589119799314,2.6511276170705504,0.22540112363437428,530.7,536.0,538.55,539.71,17.430146298869666,0.0021131,0.0020175,0.003240149999999999,0.00340397,0.00042203462338217385,3238.6666666666665,3209.0,3606.1,3740.98,193.37740876902404,1233.4666666666667,1189.5,1613.849999999999,1782.3,171.10264625526852,2769.5666666666666,2777.5,2920.4,2933.23,95.97280286044004,904.6666666666666,873.5,1175.1999999999996,1271.01,119.10732788353349,469.1,437.0,754.4499999999995,845.42,120.24429300386775,328.8,318.0,511.55,512.0,66.03251724213862,17124.692166666668,16739.65,19264.66445,20173.29455,1556.5738247766706,0.0,0.0,0.0,0.0,0.0,0.37933333333333324,0.35,0.6,0.6142,0.11114355082004934,0.65,0.875,1.0,1.0,0.39051248379533265
D_W0_R2,W0,R2,30,0.002637916501650276,0.0023187458282336593,0.004116874879400711,0.004682871694967617,0.0007846136026995641,0.002637916501650276,0.0023187458282336593,0.004116874879400711,0.004682871694967617,0.0007846136026995641,3710.8,3582.0,4803.7,5302.09,521.4811853429294,5087.647873334936,4713.394799997332,7269.548089998716,8129.56640100194,1132.7211176902497,1236.0666666666666,1257.5,1351.8999999999999,1395.5,94.80117205088882,295.1,298.0,298.0,298.0,9.129987221604784,3.6988471607642084,3.4725101964197345,5.230105911092539,5.852813298664357,0.6817926844694415,695.5666666666667,661.0,1042.1499999999999,1059.13,142.28039999319031,0.0047746,0.0046995000000000006,0.00550405,0.00553385,0.00043283296239234525,3057.0666666666666,3078.0,3226.15,3232.0,115.05532968484724,1354.3,1323.0,1753.4,1781.8500000000001,177.259536649889,2761.9666666666667,2784.0,2928.15,2934.71,111.33447604203991,920.1666666666666,888.0,1263.6999999999998,1279.71,142.62493548542705,295.1,298.0,298.0,298.0,9.129987221604784,434.1333333333333,423.5,512.0,512.0,67.58684947696722,21777.190100000003,21782.7625,25483.91965,26086.21727,2309.2615655522777,0.0,0.0,0.0,0.0,0.0,0.8268333333333335,0.85,0.9364999999999999,0.95,0.07305800587356748,0.8,1.0,1.0,1.0,0.33788558221188825
D_W0_R3,W0,R3,30,0.002716250795250138,0.0023249976948136464,0.004634385550161824,0.00614462776866276,0.0010465529404258768,0.002716250795250138,0.0023249976948136464,0.004634385550161824,0.00614462776866276,0.0010465529404258768,3675.6666666666665,3579.5,4545.0,4719.43,431.92841485083557,4410.329293333537,4472.243799988064,6399.414639994209,7857.673685992779,1162.682611085708,2178.866666666667,2274.0,3362.0999999999995,3603.2700000000004,720.5482048798369,578.5333333333333,624.0,878.5999999999999,914.5300000000001,189.35851945156546,2.1852586105816365,1.993335934566426,4.191510094401091,5.864181019925702,1.0821511096069356,411.6333333333333,423.0,730.55,731.71,229.67404197156358,0.0025730333333333333,0.0024530000000000003,0.0033341999999999994,0.00347453,0.0005430510401630976,3304.4666666666667,3254.5,3678.35,3762.4500000000003,257.0817941607085,1308.6,1245.5,1790.55,1791.71,223.82338275226442,2725.9333333333334,2732.0,2935.5,2941.42,139.1248679743808,909.7,850.5,1278.55,1279.71,158.6249560020953,578.5333333333333,624.0,878.5999999999999,914.5300000000001,189.35851945156546,398.9,370.5,512.0,512.0,92.45660243234842,18060.4085,17258.7365,21475.36695,32360.935980000013,3945.3316703931646,0.0,0.0,0.0,0.0,0.0,0.6413333333333335,0.65,0.9049999999999997,0.95,0.1779088405772899,0.85,1.0,1.0,1.0,0.24664414311581237
D_W0_R4,W0,R4,30,0.002842916364897974,0.002581247827038169,0.004544997864286413,0.006032753335603049,0.0010288588811378264,0.002842916364897974,0.002581247827038169,0.004544997864286413,0.006032753335603049,0.0010288588811378264,3726.5666666666666,3686.5,4769.95,4828.4400000000005,587.5176413426996,4779.764166669338,4594.939050002722,6721.966555005926,8008.302058998962,1131.4480636890896,3152.0333333333333,3079.0,4106.749999999999,4305.96,559.8641789656567,816.6666666666666,761.5,1164.55,1174.94,175.34163478446553,1.327226978466346,1.3128257677342137,1.4398902687283426,1.4458754726406127,0.05897380170686323,209.23333333333332,207.0,272.0,280.52,32.006961048427506,0.002766666666666667,0.002737,0.00372455,0.00373494,0.0005449461951014573,3555.633333333333,3492.0,4100.3,4115.78,315.4409065982971,1322.3666666666666,1260.0,1792.0,1792.0,245.14614462035138,2738.9666666666667,2759.0,2936.2,2940.84,153.451943255499,932.3666666666667,877.0,1280.0,1280.0,177.31938854946335,816.6666666666666,761.5,1164.55,1174.94,175.34163478446553,390.0,399.0,512.0,512.0,78.65197602942557,22758.506133333332,22818.043,27290.54354999999,29023.30382,2713.205893565209,0.0,0.0,0.0,0.0,0.0,0.7983333333333335,0.85,0.95,0.95,0.1465169690589531,1.0,1.0,1.0,1.0,0.0
D_W1_R0,W1,R0,30,1.0054633331795533,1.0435250060254475,1.2332887497905176,1.2816908780587255,0.18324264830354323,0.010497667535673827,0.008287504897452891,0.01808999804779887,0.02456224290654064,0.004954964871375847,3724.9333333333334,3562.5,4820.15,4937.72,594.5132986083845,4088.3605333336163,3791.3836000079755,6203.791880008062,7520.825424000214,1008.2029393939171,4232.933333333333,4043.5,5369.15,5468.03,621.733218957742,1013.0333333333333,952.5,1356.0,1356.0,176.2642870489904,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025321999999999996,0.002445,0.0033217499999999987,0.0038022200000000003,0.00041367736220392814,3800.6666666666665,3737.5,4290.55,4292.42,277.34266811213087,1248.3,1194.0,1665.0499999999997,1768.96,212.67708699653878,2787.633333333333,2785.5,2934.55,2937.84,108.87193802302266,944.4666666666667,884.5,1280.0,1280.0,173.08547663574268,1013.0333333333333,952.5,1356.0,1356.0,176.2642870489904,303.8333333333333,284.5,401.2499999999998,489.6700000000001,55.93155539486533,17041.419266666668,15946.2485,23720.427549999993,25655.022800000002,3105.7728604819545,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,1.0,1.0,1.0,0.01863389981249826,0.475,0.25,1.0,1.0,0.3997394985070485
D_W1_R1,W1,R1,30,1.0626237496277706,1.0837624977284577,1.214554999023676,1.4253352498053575,0.16007815488490568,0.008088501005355889,0.007312501111300662,0.012225004320498549,0.01656274842389394,0.0026399773235618604,3611.3,3628.0,4043.9499999999994,4290.88,290.34980626823227,4567.200933329877,4328.095099990605,6193.63962499192,7183.99977299152,877.3223220723878,1841.3,1743.0,2441.0499999999984,3039.51,353.67057647854546,441.46666666666664,414.0,613.4999999999997,703.95,84.69306675021018,2.2729102102428906,2.350957694504239,2.5227400620445857,2.5688590801935227,0.25717676375685167,522.4,536.0,539.0,539.71,46.876148874809815,0.0020603,0.001954,0.0026337499999999994,0.0027762000000000004,0.0002845021558207717,3188.8,3163.0,3478.7999999999997,3575.48,159.57702424430235,1193.4666666666667,1175.0,1343.35,1475.96,104.60934736224844,2747.3333333333335,2751.0,2888.25,2919.14,87.81242635425934,869.7,855.0,978.85,1072.17,70.99866195922286,441.46666666666664,414.0,613.4999999999997,703.95,84.69306675021018,323.76666666666665,312.0,405.34999999999997,416.55,43.768088324206666,17789.209366666666,17536.019500000002,22324.720099999995,26872.977220000004,2811.710453438304,0.0,0.0,0.0,0.0,0.0,0.35783333333333334,0.35,0.5049999999999998,0.6139000000000001,0.09627809835171353,0.6916666666666667,1.0,1.0,1.0,0.37462944654981706
D_W1_R2,W1,R2,30,1.0440958337615787,1.0733124963735463,1.2198043752505328,1.227632125519449,0.13303960077741508,0.009089168694724018,0.00753750282456167,0.016888754907995462,0.018828999018296603,0.0035356903574184037,3695.866666666667,3607.0,4540.75,4948.89,528.5937780774782,4672.836723335786,4866.111450013705,5628.460034991439,5943.650033004233,780.3931158796674,1225.0,1213.5,1345.85,1368.17,82.00609733428362,291.1333333333333,298.0,298.0,298.71,12.04362440832862,3.6964487924446403,3.4992822966507178,4.944142217821473,4.97660028929776,0.5373267318158875,691.7,635.5,1057.55,1059.42,168.0722364540517,0.004651633333333334,0.0046335000000000005,0.00552915,0.00554613,0.0004722434741623105,3040.3,3032.5,3230.0,3233.55,124.79079827188114,1327.1333333333334,1270.5,1776.1499999999999,1791.71,201.47915249198584,2749.1666666666665,2739.0,2932.0,2935.55,118.87502774856551,911.9,858.0,1279.0,1279.71,169.4275361327078,291.1333333333333,298.0,298.0,298.71,12.04362440832862,415.23333333333335,420.5,512.0,512.0,77.5231936619974,20882.917700000005,20782.5225,24990.15455,25749.93029,2096.224205912306,0.0,0.0,0.0,0.0,0.0,0.8096666666666669,0.85,0.92,0.92,0.13459775464529694,0.7666666666666667,1.0,1.0,1.0,0.39228674319799395
D_W1_R3,W1,R3,30,1.0706654168946745,1.0669687544577755,1.2860075050411979,1.6666981260641482,0.20478727601769406,0.008758832652044172,0.00821248977445066,0.013831249452778135,0.01524875180621166,0.002443954302090865,3703.866666666667,3589.5,4674.349999999999,4817.46,428.45557788669555,4441.27070333537,4327.663900010521,5603.267405006044,5756.146560992929,663.4577865860313,2813.5333333333333,2604.0,4024.6,4457.42,782.8953413806697,721.4,638.0,1070.4999999999998,1121.42,196.73054329886517,1.570737241361711,1.5078143617892377,2.3129194379505327,2.4827618579503565,0.4176507936570925,272.6333333333333,266.0,501.9499999999999,671.6800000000002,189.60476142638285,0.0027479,0.002646,0.00362375,0.00368142,0.0004769283209595896,3478.866666666667,3438.5,3943.749999999999,4056.13,265.79437332059706,1317.7333333333333,1247.0,1734.3999999999996,1792.0,176.84455195327777,2757.4666666666667,2761.5,2934.55,2937.13,113.19444430811178,912.4333333333333,873.0,1222.3999999999996,1280.0,123.0140055260195,721.4,638.0,1070.4999999999998,1121.42,196.73054329886517,405.3,377.0,512.0,512.0,79.59822024811022,18425.84776666667,18440.537,22594.9452,22758.21163,2387.3240780282526,0.0,0.0,0.0,0.0,0.0,0.7326666666666667,0.735,0.95,0.95,0.18561489403840653,0.9583333333333334,1.0,1.0,1.0,0.11334558757279536
D_W1_R4,W1,R4,30,1.001516668839031,0.9913062494888436,1.2111231286326074,1.3709232606197477,0.16509570683102548,0.008645000343676656,0.008237497240770608,0.013352495807339437,0.01672975275141653,0.002841275434935222,3667.1,3572.5,4728.849999999997,5429.39,549.8606702308019,4786.495723332821,4599.320400011493,6537.189319994649,7363.638279989828,1017.6146359075974,3053.0,2982.0,4124.749999999997,4759.03,540.1667643731271,788.5333333333333,752.0,1096.7999999999995,1172.68,133.2167990741241,1.350206067065964,1.338512795750845,1.4447503519696523,1.506866556702947,0.06427825154923743,213.73333333333332,211.0,253.59999999999997,266.1,20.086369065170096,0.002782366666666667,0.002653,0.0036248499999999993,0.00373268,0.0004512631518551257,3561.9666666666667,3515.0,4028.6499999999996,4104.13,224.09008357255695,1306.9666666666667,1271.0,1691.0999999999995,1791.71,173.26289915103644,2773.4333333333334,2759.0,2929.1,2933.55,102.23198564485035,908.2,875.5,1211.9499999999996,1279.71,131.00493629376464,788.5333333333333,752.0,1096.7999999999995,1172.68,133.2167990741241,398.76666666666665,381.5,512.0,512.0,77.56231186744128,23037.86503333334,22175.3,27450.474299999998,28720.60146,2754.1959242689995,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.85,0.8884999999999998,0.9413,0.09518403227432636,0.9833333333333333,1.0,1.0,1.0,0.08975274678557504
D_W2_R0,W2,R0,30,1.6644895845577896,1.6275000034511322,2.0143806310443324,2.0661803750044783,0.1975925913431806,1.0085400029007967,0.9755500359460711,1.5650050016120072,1.648442008299753,0.24437783634842183,3653.766666666667,3609.0,4767.099999999999,4962.1,546.6391060125704,4108.799130001959,4033.0219000024954,5580.932309998023,6452.6930299963,790.1568168709096,4165.7,4099.0,5338.15,5535.26,577.4734712521433,978.5,924.0,1356.1,1357.0,168.55221742830915,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024674999999999996,0.0024035000000000003,0.003152649999999999,0.0037453200000000008,0.00038642573672052435,3716.5666666666666,3666.0,4291.4,4295.71,304.4096673161934,1209.0,1152.5,1639.3499999999997,1757.7800000000002,199.63984238289376,2738.0666666666666,2745.0,2935.3,2938.71,148.97805953301386,911.2,856.0,1280.0,1280.0,165.41249448978553,978.5,924.0,1356.1,1357.0,168.55221742830915,297.8,287.5,376.4499999999999,477.7800000000001,53.4511615090511,17127.5071,16707.158000000003,20662.134249999992,22453.96366,1959.9427646786755,0.0,0.0,0.0,0.0,0.0,0.9886666666666667,1.0,1.0,1.0,0.029295430056959785,0.5333333333333333,0.625,1.0,1.0,0.45061686115319255
